location,date,variant,num_sequences_total
Ecuador,1/25/2021,B.1.620,18
Ecuador,1/25/2021,Beta,18
Ecuador,1/25/2021,Delta,18
Ecuador,1/25/2021,Epsilon,18
Ecuador,1/25/2021,Eta,18
Ecuador,1/25/2021,Gamma,18
Ecuador,1/25/2021,Iota,18
Ecuador,1/25/2021,Kappa,18
Ecuador,1/25/2021,Lambda,18
Ecuador,1/25/2021,Mu,18
Ecuador,1/25/2021,Omicron,18
Ecuador,1/25/2021,S:677H.Robin1,18
Ecuador,1/25/2021,S:677P.Pelican,18
Ecuador,1/25/2021,others,18
Ecuador,1/25/2021,non_who,18
Ecuador,2/8/2021,Alpha,2
Ecuador,2/8/2021,B.1.1.277,2
Ecuador,2/8/2021,B.1.1.302,2
Ecuador,2/8/2021,B.1.1.519,2
Ecuador,2/8/2021,B.1.160,2
Ecuador,2/8/2021,B.1.177,2
Ecuador,2/8/2021,B.1.221,2
Ecuador,2/8/2021,B.1.258,2
Ecuador,2/8/2021,B.1.367,2
Ecuador,2/8/2021,B.1.620,2
Ecuador,2/8/2021,Beta,2
Ecuador,2/8/2021,Delta,2
Ecuador,2/8/2021,Epsilon,2
Ecuador,2/8/2021,Eta,2
Ecuador,2/8/2021,Gamma,2
Ecuador,2/8/2021,Iota,2
Ecuador,2/8/2021,Kappa,2
Ecuador,2/8/2021,Lambda,2
Ecuador,2/8/2021,Mu,2
Ecuador,2/8/2021,Omicron,2
Ecuador,2/8/2021,S:677H.Robin1,2
Ecuador,2/8/2021,S:677P.Pelican,2
Ecuador,2/8/2021,others,2
Ecuador,2/8/2021,non_who,2
Ecuador,2/22/2021,Alpha,2
Ecuador,2/22/2021,B.1.1.277,2
Ecuador,2/22/2021,B.1.1.302,2
Ecuador,2/22/2021,B.1.1.519,2
Ecuador,2/22/2021,B.1.160,2
Ecuador,2/22/2021,B.1.177,2
Ecuador,2/22/2021,B.1.221,2
Ecuador,2/22/2021,B.1.258,2
Ecuador,2/22/2021,B.1.367,2
Ecuador,2/22/2021,B.1.620,2
Ecuador,2/22/2021,Beta,2
Ecuador,2/22/2021,Delta,2
Ecuador,2/22/2021,Epsilon,2
Ecuador,2/22/2021,Eta,2
Ecuador,2/22/2021,Gamma,2
Ecuador,2/22/2021,Iota,2
Ecuador,2/22/2021,Kappa,2
Ecuador,2/22/2021,Lambda,2
Ecuador,2/22/2021,Mu,2
Ecuador,2/22/2021,Omicron,2
Ecuador,2/22/2021,S:677H.Robin1,2
Ecuador,2/22/2021,S:677P.Pelican,2
Ecuador,2/22/2021,others,2
Ecuador,2/22/2021,non_who,2
Ecuador,3/8/2021,Alpha,6
